Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 120
HEX 1 : 40D08B44	41EAC8B4	40939581	
HEX 25 : 41180000	41F1147B	411BC6A8	
DEC 25 : 9.500000	30.135000	9.736000	
HEX 26 : 40A67EFA	41E18F5C	411E76C9	
DEC 26 : 5.203000	28.195000	9.904000	
HEX 27 : 40B0D4FE	41E3CAC1	41104189	
DEC 27 : 5.526000	28.474001	9.016000	
HEX 28 : 40AEB852	41E7BC6A	41274396	
DEC 28 : 5.460000	28.966999	10.454000	
HEX 29 : 401F7CEE	41DF6042	411EED91	
DEC 29 : 2.492000	27.922001	9.933000	
HEX 30 : 402A2D0E	41D978D5	4114D4FE	
DEC 30 : 2.659000	27.184000	9.302000	
HEX 31 : 405BA5E3	41E11CAC	4121DB23	
DEC 31 : 3.432000	28.139000	10.116000	
HEX 32 : 40043958	41F46C8B	401CAC08	
DEC 32 : 2.066000	30.552999	2.448000	
HEX 33 : 403A0C4A	41F8020C	4012C083	
DEC 33 : 2.907000	31.000999	2.293000	
HEX 34 : 3FF41893	41F0F9DB	3FCB22D1	
DEC 34 : 1.907000	30.122000	1.587000	
HEX 35 : 4091FBE7	42027AE1	400F8D50	
DEC 35 : 4.562000	32.619999	2.243000	
HEX 36 : 40A6F1AA	420521CB	40239581	
DEC 36 : 5.217000	33.283001	2.556000	
HEX 37 : 40A28F5C	41FE5A1D	40171AA0	
DEC 37 : 5.080000	31.794001	2.361000	
HEX 38 : 413CFDF4	41FFBE77	40D0D4FE	
DEC 38 : 11.812000	31.968000	6.526000	
HEX 39 : 41100419	41E40831	405F6C8B	
DEC 39 : 9.001000	28.504000	3.491000	
HEX 40 : 4114F5C3	41E76A7F	402A7EFA	
DEC 40 : 9.310000	28.927000	2.664000	
HEX 41 : 411AAC08	41E66873	40849BA6	
DEC 41 : 9.667000	28.801001	4.144000	
HEX 42 : 406DF3B6	41C06A7F	40A1F3B6	
DEC 42 : 3.718000	24.052000	5.061000	
HEX 43 : 40C6353F	41CAE979	407B53F8	
DEC 43 : 6.194000	25.364000	3.927000	
HEX 44 : 40B74396	41C445A2	4085BA5E	
DEC 44 : 5.727000	24.534000	4.179000	
HEX 45 : 40BC20C5	41CF5A1D	40958937	
DEC 45 : 5.879000	25.919001	4.673000	
HEX 46 : 40158106	42098A3D	40318937	
DEC 46 : 2.336000	34.384998	2.774000	
HEX 47 : 4043F7CF	4206EA7F	4032C083	
DEC 47 : 3.062000	33.729000	2.793000	
HEX 48 : 4030A3D7	420C676D	401020C5	
DEC 48 : 2.760000	35.101002	2.252000	
HEX 49 : 4126F1AA	41E526E9	40C00831	
DEC 49 : 10.434000	28.643999	6.001000	
HEX 50 : 41216042	41DE5810	40CB74BC	
DEC 50 : 10.086000	27.792999	6.358000	
HEX 51 : 41363D71	41E45E35	40C5F3B6	
DEC 51 : 11.390000	28.546000	6.186000	
HEX 52 : 4054FDF4	41CF4396	4104E148	
DEC 52 : 3.328000	25.908001	8.305000	
HEX 53 : 4078B439	41CFF9DB	40F01062	
DEC 53 : 3.886000	25.997000	7.502000	
HEX 54 : 4026A7F0	41CAAC08	40FF8D50	
DEC 54 : 2.604000	25.334000	7.986000	
HEX 55 : 41153B64	41D0B021	4121D2F2	
DEC 55 : 9.327000	26.086000	10.114000	
HEX 56 : 4123D70A	41D37EFA	412076C9	
DEC 56 : 10.240000	26.437000	10.029000	
HEX 57 : 411753F8	41CAC8B4	412BD2F2	
DEC 57 : 9.458000	25.348000	10.739000	
HEX 58 : 40E14FDF	41CDA9FC	41089BA6	
DEC 58 : 7.041000	25.708000	8.538000	
HEX 59 : 40CC624E	41CB624E	411353F8	
DEC 59 : 6.387000	25.423000	9.208000	
HEX 60 : 40FA1CAC	41CEDD2F	41120000	
DEC 60 : 7.816000	25.858000	9.125000	
HEX 61 : 410F5C29	41CE1062	4083A5E3	
DEC 61 : 8.960000	25.757999	4.114000	
HEX 62 : 411049BA	41D5851F	40739581	
DEC 62 : 9.018000	26.690001	3.806000	
HEX 63 : 410024DD	41CC9BA6	407D3F7D	
DEC 63 : 8.009000	25.576000	3.957000	
HEX 64 : 411D6C8B	41C21AA0	407178D5	
DEC 64 : 9.839000	24.263000	3.773000	
HEX 65 : 408472B0	4201E45A	40BB851F	
DEC 65 : 4.139000	32.473000	5.860000	
HEX 66 : 404C28F6	4202BF7D	40B75C29	
DEC 66 : 3.190000	32.687000	5.730000	
HEX 67 : 408245A2	41FC020C	40B6F9DB	
DEC 67 : 4.071000	31.500999	5.718000	
HEX 68 : 4018624E	41DC7EFA	40965604	
DEC 68 : 2.381000	27.562000	4.698000	
HEX 69 : 400F6C8B	41DBDF3B	406EC8B4	
DEC 69 : 2.241000	27.483999	3.731000	
HEX 70 : 401ED917	41D4F1AA	409E0419	
DEC 70 : 2.482000	26.618000	4.938000	
HEX 71 : 40AFD70A	41F2DD2F	41393B64	
DEC 71 : 5.495000	30.358000	11.577000	
HEX 72 : 40979DB2	41F7D917	4139EF9E	
DEC 72 : 4.738000	30.981001	11.621000	
HEX 73 : 40C73333	41F7E979	4135E76D	
DEC 73 : 6.225000	30.989000	11.369000	
HEX 74 : 40A020C5	41CBED91	4126AC08	
DEC 74 : 5.004000	25.490999	10.417000	
HEX 75 : 4087DF3B	41CB9FBE	411CC083	
DEC 75 : 4.246000	25.452999	9.797000	
HEX 76 : 40A4E560	41D3B439	41268F5C	
DEC 76 : 5.153000	26.462999	10.410000	
HEX 77 : 40926666	41DCCAC1	3F96C8B4	
DEC 77 : 4.575000	27.599001	1.178000	
HEX 78 : 4068E560	41DB851F	3FB7CED9	
DEC 78 : 3.639000	27.440001	1.436000	
HEX 79 : 409CB439	41D574BC	3F88F5C3	
DEC 79 : 4.897000	26.681999	1.070000	
HEX 80 : 405CAC08	4200CCCD	413D3B64	
DEC 80 : 3.448000	32.200001	11.827000	
HEX 81 : 40408312	42044BC7	413B53F8	
DEC 81 : 3.008000	33.074001	11.708000	
HEX 82 : 40B7CED9	41E85C29	40E9DB23	
DEC 82 : 5.744000	29.045000	7.308000	
HEX 83 : 409D8937	41EBEF9E	40E0A3D7	
DEC 83 : 4.923000	29.492001	7.020000	
HEX 84 : 40CA0C4A	41EA3B64	40D178D5	
DEC 84 : 6.314000	29.278999	6.546000	
HEX 85 : 4115E354	4203DD2F	40834BC7	
DEC 85 : 9.368000	32.966000	4.103000	
HEX 86 : 411A0000	42026D91	404E872B	
DEC 86 : 9.625000	32.606998	3.227000	
HEX 87 : 4106624E	420327F0	40843958	
DEC 87 : 8.399000	32.789001	4.132000	
HEX 88 : 40EDA9FC	4200C9BA	412EF5C3	
DEC 88 : 7.427000	32.196999	10.935000	
HEX 89 : 4102624E	41FC6666	412CC083	
DEC 89 : 8.149000	31.549999	10.797000	
HEX 90 : 40FCFDF4	42043021	412CC083	
DEC 90 : 7.906000	33.047001	10.797000	
HEX 91 : 40D5BA5E	4202E979	4092353F	
DEC 91 : 6.679000	32.728001	4.569000	
HEX 92 : 40BBDF3B	4201AC08	40A09BA6	
DEC 92 : 5.871000	32.417999	5.019000	
HEX 93 : 40D40831	4206B22D	4099FBE7	
DEC 93 : 6.626000	33.674000	4.812000	
HEX 94 : 407947AE	41EE51EC	40AC9BA6	
DEC 94 : 3.895000	29.790001	5.394000	
HEX 95 : 405072B0	41E8D4FE	40A3126F	
DEC 95 : 3.257000	29.104000	5.096000	
HEX 96 : 4097020C	41EBBE77	409F3B64	
DEC 96 : 4.719000	29.468000	4.976000	
HEX 97 : 40C2E148	420BDF3B	40241893	
DEC 97 : 6.090000	34.967999	2.564000	
HEX 98 : 40CB2B02	420F0E56	4044DD2F	
DEC 98 : 6.349000	35.764000	3.076000	
HEX 99 : 40DD1687	420B3333	40033333	
DEC 99 : 6.909000	34.799999	2.050000	
HEX 100 : 410BC28F	420BB852	40EC20C5	
DEC 100 : 8.735000	34.930000	7.379000	
HEX 101 : 4113020C	420F322D	40EB22D1	
DEC 101 : 9.188000	35.799000	7.348000	
HEX 102 : 4108F9DB	420B5604	41056873	
DEC 102 : 8.561000	34.834000	8.338000	
HEX 103 : 3FEE353F	4209D810	41361CAC	
DEC 103 : 1.861000	34.460999	11.382000	
HEX 104 : 4002D0E5	420DA0C5	4139374C	
DEC 104 : 2.044000	35.407001	11.576000	
HEX 105 : 3F6E147B	42099DB2	413B1687	
DEC 105 : 0.930000	34.403999	11.693000	
HEX 106 : 4105E76D	420AF1AA	41232B02	
DEC 106 : 8.369000	34.736000	10.198000	
HEX 107 : 40F872B0	420DAE14	4128F1AA	
DEC 107 : 7.764000	35.419998	10.559000	
HEX 108 : 41127EFA	420D3D71	41215C29	
DEC 108 : 9.156000	35.310001	10.085000	
HEX 109 : 412FF7CF	420C4083	40958937	
DEC 109 : 10.998000	35.063000	4.673000	
HEX 110 : 41260831	42094CCD	408F74BC	
DEC 110 : 10.377000	34.325001	4.483000	
HEX 111 : 4126978D	420F449C	408E9FBE	
DEC 111 : 10.412000	35.817001	4.457000	
HEX 112 : 4089A9FC	420AA6E9	40F15810	
DEC 112 : 4.302000	34.662998	7.542000	
HEX 113 : 409547AE	4208FCEE	4105D70A	
DEC 113 : 4.665000	34.247002	8.365000	
HEX 114 : 408753F8	42076C8B	40DF5C29	
DEC 114 : 4.229000	33.855999	6.980000	
HEX 115 : 40A5374C	420521CB	411AF1AA	
DEC 115 : 5.163000	33.283001	9.684000	
HEX 116 : 40C1A1CB	42041687	41200831	
DEC 116 : 6.051000	33.021999	10.002000	
HEX 117 : 4093645A	42039FBE	412620C5	
DEC 117 : 4.606000	32.905998	10.383000	
HEX 118 : 40CF9DB2	420CC6A8	40BB020C	
DEC 118 : 6.488000	35.194000	5.844000	
HEX 119 : 40B92F1B	420C21CB	40D028F6	
DEC 119 : 5.787000	35.033001	6.505000	
HEX 120 : 40E9A1CB	420C428F	40CC72B0	
DEC 120 : 7.301000	35.064999	6.389000	
121 : 0.000000	0.000000	0.000000	
122 : 0.000000	0.000000	0.000000	
123 : 0.000000	0.000000	0.000000	
124 : 0.000000	0.000000	0.000000	
125 : 0.000000	0.000000	0.000000	
126 : 0.000000	0.000000	0.000000	
127 : 0.000000	0.000000	0.000000	
128 : 0.000000	0.000000	0.000000	
129 : 0.000000	0.000000	0.000000	
130 : 0.000000	0.000000	0.000000	
131 : 0.000000	0.000000	0.000000	
132 : 0.000000	0.000000	0.000000	
133 : 0.000000	0.000000	0.000000	
134 : 0.000000	0.000000	0.000000	
135 : 0.000000	0.000000	0.000000	
136 : 0.000000	0.000000	0.000000	
137 : 0.000000	0.000000	0.000000	
138 : 0.000000	0.000000	0.000000	
139 : 0.000000	0.000000	0.000000	
140 : 0.000000	0.000000	0.000000	
141 : 0.000000	0.000000	0.000000	
142 : 0.000000	0.000000	0.000000	
143 : 0.000000	0.000000	0.000000	
144 : 0.000000	0.000000	0.000000	
145 : 0.000000	0.000000	0.000000	
146 : 0.000000	0.000000	0.000000	
147 : 0.000000	0.000000	0.000000	
148 : 0.000000	0.000000	0.000000	
149 : 0.000000	0.000000	0.000000	
150 : 0.000000	0.000000	0.000000	
151 : 0.000000	0.000000	0.000000	
152 : 0.000000	0.000000	0.000000	
153 : 0.000000	0.000000	0.000000	
154 : 0.000000	0.000000	0.000000	
155 : 0.000000	0.000000	0.000000	
156 : 0.000000	0.000000	0.000000	
157 : 0.000000	0.000000	0.000000	
158 : 0.000000	0.000000	0.000000	
159 : 0.000000	0.000000	0.000000	
160 : 0.000000	0.000000	0.000000	
161 : 0.000000	0.000000	0.000000	
162 : 0.000000	0.000000	0.000000	
163 : 0.000000	0.000000	0.000000	
164 : 0.000000	0.000000	0.000000	
165 : 0.000000	0.000000	0.000000	
166 : 0.000000	0.000000	0.000000	
167 : 0.000000	0.000000	0.000000	
168 : 0.000000	0.000000	0.000000	
169 : 0.000000	0.000000	0.000000	
170 : 0.000000	0.000000	0.000000	
171 : 0.000000	0.000000	0.000000	
172 : 0.000000	0.000000	0.000000	
173 : 0.000000	0.000000	0.000000	
174 : 0.000000	0.000000	0.000000	
175 : 0.000000	0.000000	0.000000	
176 : 0.000000	0.000000	0.000000	
177 : 0.000000	0.000000	0.000000	
178 : 0.000000	0.000000	0.000000	
179 : 0.000000	0.000000	0.000000	
180 : 0.000000	0.000000	0.000000	
181 : 0.000000	0.000000	0.000000	
182 : 0.000000	0.000000	0.000000	
183 : 0.000000	0.000000	0.000000	
184 : 0.000000	0.000000	0.000000	
185 : 0.000000	0.000000	0.000000	
186 : 0.000000	0.000000	0.000000	
187 : 0.000000	0.000000	0.000000	
188 : 0.000000	0.000000	0.000000	
189 : 0.000000	0.000000	0.000000	
190 : 0.000000	0.000000	0.000000	
191 : 0.000000	0.000000	0.000000	
192 : 0.000000	0.000000	0.000000	
193 : 0.000000	0.000000	0.000000	
194 : 0.000000	0.000000	0.000000	
195 : 0.000000	0.000000	0.000000	
196 : 0.000000	0.000000	0.000000	
197 : 0.000000	0.000000	0.000000	
198 : 0.000000	0.000000	0.000000	
199 : 0.000000	0.000000	0.000000	
200 : 0.000000	0.000000	0.000000	
201 : 0.000000	0.000000	0.000000	
202 : 0.000000	0.000000	0.000000	
203 : 0.000000	0.000000	0.000000	
204 : 0.000000	0.000000	0.000000	
205 : 0.000000	0.000000	0.000000	
206 : 0.000000	0.000000	0.000000	
207 : 0.000000	0.000000	0.000000	
208 : 0.000000	0.000000	0.000000	
209 : 0.000000	0.000000	0.000000	
210 : 0.000000	0.000000	0.000000	
211 : 0.000000	0.000000	0.000000	
212 : 0.000000	0.000000	0.000000	
213 : 0.000000	0.000000	0.000000	
214 : 0.000000	0.000000	0.000000	
215 : 0.000000	0.000000	0.000000	
216 : 0.000000	0.000000	0.000000	
217 : 0.000000	0.000000	0.000000	
218 : 0.000000	0.000000	0.000000	
219 : 0.000000	0.000000	0.000000	
220 : 0.000000	0.000000	0.000000	
221 : 0.000000	0.000000	0.000000	
222 : 0.000000	0.000000	0.000000	
223 : 0.000000	0.000000	0.000000	
224 : 0.000000	0.000000	0.000000	
225 : 0.000000	0.000000	0.000000	
226 : 0.000000	0.000000	0.000000	
227 : 0.000000	0.000000	0.000000	
228 : 0.000000	0.000000	0.000000	
229 : 0.000000	0.000000	0.000000	
230 : 0.000000	0.000000	0.000000	
231 : 0.000000	0.000000	0.000000	
232 : 0.000000	0.000000	0.000000	
233 : 0.000000	0.000000	0.000000	
234 : 0.000000	0.000000	0.000000	
235 : 0.000000	0.000000	0.000000	
236 : 0.000000	0.000000	0.000000	
237 : 0.000000	0.000000	0.000000	
238 : 0.000000	0.000000	0.000000	
239 : 0.000000	0.000000	0.000000	
240 : 0.000000	0.000000	0.000000	
241 : 0.000000	0.000000	0.000000	
242 : 0.000000	0.000000	0.000000	
243 : 0.000000	0.000000	0.000000	
244 : 0.000000	0.000000	0.000000	
245 : 0.000000	0.000000	0.000000	
246 : 0.000000	0.000000	0.000000	
247 : 0.000000	0.000000	0.000000	
248 : 0.000000	0.000000	0.000000	
249 : 0.000000	0.000000	0.000000	
250 : 0.000000	0.000000	0.000000	
251 : 0.000000	0.000000	0.000000	
252 : 0.000000	0.000000	0.000000	
253 : 0.000000	0.000000	0.000000	
254 : 0.000000	0.000000	0.000000	
255 : 0.000000	0.000000	0.000000	
256 : 0.000000	0.000000	0.000000	
257 : 0.000000	0.000000	0.000000	
258 : 0.000000	0.000000	0.000000	
259 : 0.000000	0.000000	0.000000	
260 : 0.000000	0.000000	0.000000	
261 : 0.000000	0.000000	0.000000	
262 : 0.000000	0.000000	0.000000	
263 : 0.000000	0.000000	0.000000	
264 : 0.000000	0.000000	0.000000	
265 : 0.000000	0.000000	0.000000	
266 : 0.000000	0.000000	0.000000	
267 : 0.000000	0.000000	0.000000	
268 : 0.000000	0.000000	0.000000	
269 : 0.000000	0.000000	0.000000	
270 : 0.000000	0.000000	0.000000	
271 : 0.000000	0.000000	0.000000	
272 : 0.000000	0.000000	0.000000	
273 : 0.000000	0.000000	0.000000	
274 : 0.000000	0.000000	0.000000	
275 : 0.000000	0.000000	0.000000	
276 : 0.000000	0.000000	0.000000	
277 : 0.000000	0.000000	0.000000	
278 : 0.000000	0.000000	0.000000	
279 : 0.000000	0.000000	0.000000	
280 : 0.000000	0.000000	0.000000	
281 : 0.000000	0.000000	0.000000	
282 : 0.000000	0.000000	0.000000	
283 : 0.000000	0.000000	0.000000	
284 : 0.000000	0.000000	0.000000	
285 : 0.000000	0.000000	0.000000	
286 : 0.000000	0.000000	0.000000	
287 : 0.000000	0.000000	0.000000	
288 : 0.000000	0.000000	0.000000	
289 : 0.000000	0.000000	0.000000	
290 : 0.000000	0.000000	0.000000	
291 : 0.000000	0.000000	0.000000	
292 : 0.000000	0.000000	0.000000	
293 : 0.000000	0.000000	0.000000	
294 : 0.000000	0.000000	0.000000	
295 : 0.000000	0.000000	0.000000	
296 : 0.000000	0.000000	0.000000	
297 : 0.000000	0.000000	0.000000	
298 : 0.000000	0.000000	0.000000	
299 : 0.000000	0.000000	0.000000	
