Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 176
HEX 1 : 41A74396	41BEF9DB	4200A1CB	
DEC 122 : 19.323000	12.908000	29.087000	
HEX 123 : 419EB021	4158A7F0	41DE5C29	
DEC 123 : 19.836000	13.541000	27.795000	
HEX 124 : 41B31062	414AF5C3	41CBF7CF	
DEC 124 : 22.382999	12.685000	25.496000	
HEX 125 : 41B68106	414EA3D7	41E5D917	
DEC 125 : 22.813000	12.915000	28.731001	
HEX 126 : 41B6B439	414AED91	41DE353F	
DEC 126 : 22.837999	12.683000	27.775999	
HEX 127 : 41AEB22D	414FEF9E	41E6A1CB	
DEC 127 : 21.837000	12.996000	28.829000	
HEX 128 : 419422D1	4140147B	41CFF1AA	
DEC 128 : 18.517000	12.005000	25.993000	
HEX 129 : 419853F8	414D74BC	41CF76C9	
DEC 129 : 19.041000	12.841000	25.933001	
HEX 130 : 418DB439	418B0625	41F89BA6	
DEC 130 : 17.712999	17.378000	31.076000	
HEX 131 : 418F6042	418D9581	41FFD917	
DEC 131 : 17.922001	17.698000	31.981001	
HEX 132 : 418C8106	4191F1AA	41F524DD	
DEC 132 : 17.563000	18.243000	30.643000	
HEX 133 : 4191D0E5	416AC49C	41FE872B	
DEC 133 : 18.226999	14.673000	31.816000	
HEX 134 : 4199624E	416624DD	41FE1AA0	
DEC 134 : 19.173000	14.384000	31.763000	
HEX 135 : 41920625	41789375	41FAE76D	
DEC 135 : 18.253000	15.536000	31.363001	
HEX 136 : 41A68106	415D999A	41FF3958	
DEC 136 : 20.813000	13.850000	31.903000	
HEX 137 : 41A8F7CF	4151A9FC	4201C189	
DEC 137 : 21.121000	13.104000	32.438999	
HEX 138 : 41AD3B64	4163851F	41FC7AE1	
DEC 138 : 21.653999	14.220000	31.559999	
HEX 139 : 419E624E	41665E35	41D151EC	
DEC 139 : 19.798000	14.398000	26.165001	
HEX 140 : 41995810	41726A7F	41D1624E	
DEC 140 : 19.167999	15.151000	26.173000	
HEX 141 : 41A54396	416DBE77	41D07EFA	
DEC 141 : 20.658001	14.859000	26.062000	
HEX 142 : 418D3D71	41816666	41D4F3B6	
DEC 142 : 17.655001	16.174999	26.618999	
HEX 143 : 418D74BC	41889168	41D81AA0	
DEC 143 : 17.681999	17.070999	27.013000	
HEX 144 : 418A74BC	417A0831	41DAE76D	
DEC 144 : 17.306999	15.627000	27.363001	
HEX 145 : 41B3F3B6	4165DB23	41C4851F	
DEC 145 : 22.493999	14.366000	24.565001	
HEX 146 : 41B4147B	417649BA	41D0624E	
DEC 146 : 22.510000	15.393000	26.048000	
HEX 147 : 41BAB439	416FDF3B	41D345A2	
DEC 147 : 23.337999	14.992000	26.409000	
HEX 148 : 41B63127	4182AE14	41D05E35	
DEC 148 : 22.774000	16.334999	26.046000	
HEX 149 : 41A0D0E5	418147AE	41E68B44	
DEC 149 : 20.101999	16.160000	28.818001	
HEX 150 : 41A1B021	41730625	41E70419	
DEC 150 : 20.211000	15.189000	28.877001	
HEX 151 : 419A872B	41826666	41EAE76D	
DEC 151 : 19.316000	16.299999	29.363001	
HEX 152 : 41BADB23	419322D1	41C45C29	
DEC 152 : 23.357000	18.392000	24.545000	
HEX 153 : 418D6666	41AC4DD3	41D33958	
DEC 153 : 17.674999	21.538000	26.403000	
HEX 154 : 41879168	41B0E354	41D5C6A8	
DEC 154 : 16.945999	22.111000	26.722000	
HEX 155 : 41911687	41B15810	41CE8312	
DEC 155 : 18.136000	22.167999	25.813999	
HEX 156 : 418EFBE7	4196EF9E	41DB147B	
DEC 156 : 17.872999	18.867001	27.385000	
HEX 157 : 418F74BC	419E9375	41D96666	
DEC 157 : 17.931999	19.822001	27.174999	
HEX 158 : 4187DB23	41970831	41DE72B0	
DEC 158 : 16.982000	18.879000	27.806000	
HEX 159 : 41B82D0E	4190ED91	41D23B64	
DEC 159 : 23.021999	18.115999	26.278999	
HEX 160 : 41B078D5	41912D0E	41D3E979	
DEC 160 : 22.059000	18.146999	26.489000	
HEX 161 : 41BB3333	4194AC08	41D84FDF	
DEC 161 : 23.400000	18.584000	27.039000	
HEX 162 : 419424DD	41B7C28F	41C0E354	
DEC 162 : 18.518000	22.969999	24.111000	
HEX 163 : 419E6873	4193D4FE	41C04BC7	
DEC 163 : 19.801001	18.479000	24.037001	
HEX 164 : 41A13127	4191DF3B	41C76042	
DEC 164 : 20.149000	18.233999	24.922001	
HEX 165 : 41A2BE77	418EDB23	41D59581	
DEC 165 : 20.343000	17.857000	26.698000	
HEX 166 : 41A2E76D	418974BC	41DB5604	
DEC 166 : 20.363001	17.181999	27.417000	
HEX 167 : 419C020C	41926042	41D78D50	
DEC 167 : 19.500999	18.297001	26.944000	
HEX 168 : 418F6873	4178B852	42099BA6	
DEC 168 : 17.926001	15.545000	34.402000	
HEX 169 : 41954189	41706E98	420B3B64	
DEC 169 : 18.657000	15.027000	34.807999	
HEX 170 : 418F6666	4172B852	4205FAE1	
DEC 170 : 17.924999	15.170000	33.494999	
HEX 171 : 41919375	41921687	4206AB02	
DEC 171 : 18.197001	18.261000	33.667000	
HEX 172 : 41916873	418B2F1B	42088A3D	
DEC 172 : 18.176001	17.398001	34.134998	
HEX 173 : 419951EC	41939DB2	4206A0C5	
DEC 173 : 19.165001	18.452000	33.657001	
HEX 174 : 419E5C29	415F1687	420EDF3B	
DEC 174 : 19.795000	13.943000	35.717999	
HEX 175 : 4199DD2F	41524189	420F353F	
DEC 175 : 19.233000	13.141000	35.801998	
HEX 176 : 41A56A7F	4158E560	420E6042	
DEC 176 : 20.677000	13.556000	35.594002	
177 : 0.000000	0.000000	0.000000	
178 : 0.000000	0.000000	0.000000	
179 : 0.000000	0.000000	0.000000	
180 : 0.000000	0.000000	0.000000	
181 : 0.000000	0.000000	0.000000	
182 : 0.000000	0.000000	0.000000	
183 : 0.000000	0.000000	0.000000	
184 : 0.000000	0.000000	0.000000	
185 : 0.000000	0.000000	0.000000	
186 : 0.000000	0.000000	0.000000	
187 : 0.000000	0.000000	0.000000	
188 : 0.000000	0.000000	0.000000	
189 : 0.000000	0.000000	0.000000	
190 : 0.000000	0.000000	0.000000	
191 : 0.000000	0.000000	0.000000	
192 : 0.000000	0.000000	0.000000	
193 : 0.000000	0.000000	0.000000	
194 : 0.000000	0.000000	0.000000	
195 : 0.000000	0.000000	0.000000	
196 : 0.000000	0.000000	0.000000	
197 : 0.000000	0.000000	0.000000	
198 : 0.000000	0.000000	0.000000	
199 : 0.000000	0.000000	0.000000	
200 : 0.000000	0.000000	0.000000	
201 : 0.000000	0.000000	0.000000	
202 : 0.000000	0.000000	0.000000	
203 : 0.000000	0.000000	0.000000	
204 : 0.000000	0.000000	0.000000	
205 : 0.000000	0.000000	0.000000	
206 : 0.000000	0.000000	0.000000	
207 : 0.000000	0.000000	0.000000	
208 : 0.000000	0.000000	0.000000	
209 : 0.000000	0.000000	0.000000	
210 : 0.000000	0.000000	0.000000	
211 : 0.000000	0.000000	0.000000	
212 : 0.000000	0.000000	0.000000	
213 : 0.000000	0.000000	0.000000	
214 : 0.000000	0.000000	0.000000	
215 : 0.000000	0.000000	0.000000	
216 : 0.000000	0.000000	0.000000	
217 : 0.000000	0.000000	0.000000	
218 : 0.000000	0.000000	0.000000	
219 : 0.000000	0.000000	0.000000	
220 : 0.000000	0.000000	0.000000	
221 : 0.000000	0.000000	0.000000	
222 : 0.000000	0.000000	0.000000	
223 : 0.000000	0.000000	0.000000	
224 : 0.000000	0.000000	0.000000	
225 : 0.000000	0.000000	0.000000	
226 : 0.000000	0.000000	0.000000	
227 : 0.000000	0.000000	0.000000	
228 : 0.000000	0.000000	0.000000	
229 : 0.000000	0.000000	0.000000	
230 : 0.000000	0.000000	0.000000	
231 : 0.000000	0.000000	0.000000	
232 : 0.000000	0.000000	0.000000	
233 : 0.000000	0.000000	0.000000	
234 : 0.000000	0.000000	0.000000	
235 : 0.000000	0.000000	0.000000	
236 : 0.000000	0.000000	0.000000	
237 : 0.000000	0.000000	0.000000	
238 : 0.000000	0.000000	0.000000	
239 : 0.000000	0.000000	0.000000	
240 : 0.000000	0.000000	0.000000	
241 : 0.000000	0.000000	0.000000	
242 : 0.000000	0.000000	0.000000	
243 : 0.000000	0.000000	0.000000	
244 : 0.000000	0.000000	0.000000	
245 : 0.000000	0.000000	0.000000	
246 : 0.000000	0.000000	0.000000	
247 : 0.000000	0.000000	0.000000	
248 : 0.000000	0.000000	0.000000	
249 : 0.000000	0.000000	0.000000	
250 : 0.000000	0.000000	0.000000	
251 : 0.000000	0.000000	0.000000	
252 : 0.000000	0.000000	0.000000	
253 : 0.000000	0.000000	0.000000	
254 : 0.000000	0.000000	0.000000	
255 : 0.000000	0.000000	0.000000	
256 : 0.000000	0.000000	0.000000	
257 : 0.000000	0.000000	0.000000	
258 : 0.000000	0.000000	0.000000	
259 : 0.000000	0.000000	0.000000	
260 : 0.000000	0.000000	0.000000	
261 : 0.000000	0.000000	0.000000	
262 : 0.000000	0.000000	0.000000	
263 : 0.000000	0.000000	0.000000	
264 : 0.000000	0.000000	0.000000	
265 : 0.000000	0.000000	0.000000	
266 : 0.000000	0.000000	0.000000	
267 : 0.000000	0.000000	0.000000	
268 : 0.000000	0.000000	0.000000	
269 : 0.000000	0.000000	0.000000	
270 : 0.000000	0.000000	0.000000	
271 : 0.000000	0.000000	0.000000	
272 : 0.000000	0.000000	0.000000	
273 : 0.000000	0.000000	0.000000	
274 : 0.000000	0.000000	0.000000	
275 : 0.000000	0.000000	0.000000	
276 : 0.000000	0.000000	0.000000	
277 : 0.000000	0.000000	0.000000	
278 : 0.000000	0.000000	0.000000	
279 : 0.000000	0.000000	0.000000	
280 : 0.000000	0.000000	0.000000	
281 : 0.000000	0.000000	0.000000	
282 : 0.000000	0.000000	0.000000	
283 : 0.000000	0.000000	0.000000	
284 : 0.000000	0.000000	0.000000	
285 : 0.000000	0.000000	0.000000	
286 : 0.000000	0.000000	0.000000	
287 : 0.000000	0.000000	0.000000	
288 : 0.000000	0.000000	0.000000	
289 : 0.000000	0.000000	0.000000	
290 : 0.000000	0.000000	0.000000	
291 : 0.000000	0.000000	0.000000	
292 : 0.000000	0.000000	0.000000	
293 : 0.000000	0.000000	0.000000	
294 : 0.000000	0.000000	0.000000	
295 : 0.000000	0.000000	0.000000	
296 : 0.000000	0.000000	0.000000	
297 : 0.000000	0.000000	0.000000	
298 : 0.000000	0.000000	0.000000	
299 : 0.000000	0.000000	0.000000	
