Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 154
HEX 1 : 41C249BA	420EB333	41AD5810	
DEC 28 : 27.812000	30.046000	17.254000	
HEX 29 : 41DE9FBE	41F3B22D	417C72B0	
DEC 29 : 27.827999	30.462000	15.778000	
HEX 30 : 4209D2F2	41EB374C	4170AC08	
DEC 30 : 34.456001	29.402000	15.042000	
HEX 31 : 420CF1AA	41EF70A4	416C1CAC	
DEC 31 : 35.236000	29.930000	14.757000	
HEX 32 : 42088C4A	41F05E35	417B6C8B	
DEC 32 : 34.137001	30.046000	15.714000	
HEX 33 : 42028106	420D9AA0	41632B02	
DEC 33 : 32.625999	35.401001	14.198000	
HEX 34 : 4202645A	420E9EB8	417272B0	
DEC 34 : 32.598000	35.654999	15.153000	
HEX 35 : 41FD5C29	420E1687	415FF3B6	
DEC 35 : 31.670000	35.521999	13.997000	
HEX 36 : 42088625	41DBD70A	41A3147B	
DEC 36 : 34.131001	27.480000	20.385000	
HEX 37 : 420C3D71	41D96666	41A29BA6	
DEC 37 : 35.060001	27.174999	20.326000	
HEX 38 : 4207F4BC	41DE5604	419BC28F	
DEC 38 : 33.988998	27.792000	19.469999	
HEX 39 : 41C87CEE	420A3E77	419AB646	
DEC 39 : 25.061001	34.561001	19.339001	
HEX 40 : 41CDD917	42078831	4198B852	
DEC 40 : 25.731001	33.882999	19.090000	
HEX 41 : 41C7BC6A	420C25E3	4193DD2F	
DEC 41 : 24.966999	35.036999	18.483000	
HEX 42 : 41E9CCCD	41CD6C8B	41A37EFA	
DEC 42 : 29.225000	25.677999	20.437000	
HEX 43 : 41EC0000	41C66A7F	41A649BA	
DEC 43 : 29.500000	24.802000	20.785999	
HEX 44 : 41E20625	41CCCAC1	41A45C29	
DEC 44 : 28.253000	25.599001	20.545000	
HEX 45 : 41C18937	4204FCEE	41A2147B	
DEC 45 : 24.191999	33.247002	20.260000	
HEX 46 : 41C024DD	42030419	41AD8D50	
DEC 46 : 24.018000	32.754002	21.694000	
HEX 47 : 420FF6C9	41E9FBE7	41BB8D50	
DEC 47 : 35.991001	29.247999	23.444000	
HEX 48 : 41C09168	41CE6E98	419F5A1D	
DEC 48 : 24.070999	25.804001	19.919001	
HEX 49 : 41C2C28F	41D4DF3B	419B4DD3	
DEC 49 : 24.344999	26.608999	19.413000	
HEX 50 : 41CACAC1	41F2FBE7	419F1062	
DEC 50 : 25.349001	30.372999	19.882999	
HEX 51 : 41C6A9FC	41F8D917	41A25604	
DEC 51 : 24.833000	31.106001	20.292000	
HEX 52 : 41CFC28F	41F78F5C	419B0625	
DEC 52 : 25.969999	30.945000	19.378000	
HEX 53 : 41FD3B64	41EAAC08	41B10000	
DEC 53 : 31.653999	29.334000	22.125000	
HEX 54 : 41FE8F5C	41E3353F	41AF6A7F	
DEC 54 : 31.820000	28.400999	21.927000	
HEX 55 : 4200F2B0	41EE49BA	41ABCAC1	
DEC 55 : 32.237000	29.785999	21.474001	
HEX 56 : 41E9ED91	41FF1CAC	419DD70A	
DEC 56 : 29.240999	31.889000	19.730000	
HEX 57 : 41EFAC08	420074BC	4198D4FE	
DEC 57 : 29.959000	32.113998	19.104000	
HEX 58 : 41E8C8B4	41F78312	419C49BA	
DEC 58 : 29.098000	30.938999	19.535999	
HEX 59 : 42023021	41D372B0	41B2A1CB	
DEC 59 : 32.547001	26.431000	22.329000	
HEX 60 : 42048000	41D5CED9	41ACA7F0	
DEC 60 : 33.125000	26.726000	21.582001	
HEX 61 : 420424DD	41D69BA6	41B8BC6A	
DEC 61 : 33.035999	26.826000	23.091999	
HEX 62 : 4208AB02	41FD4396	41844BC7	
DEC 62 : 34.167000	31.658001	16.537001	
HEX 63 : 4207BF7D	4200E873	418A6A7F	
DEC 63 : 33.937000	32.227001	17.302000	
HEX 64 : 42091CAC	420150E5	417D5810	
DEC 64 : 34.278000	32.328999	15.834000	
HEX 65 : 420470A4	420ECDD3	418AA9FC	
DEC 65 : 33.110001	35.701000	17.333000	
HEX 66 : 41F4645A	41DB8312	41969FBE	
DEC 66 : 30.549000	27.438999	18.827999	
HEX 67 : 41F9C28F	41D674BC	4193E148	
DEC 67 : 31.219999	26.806999	18.485001	
HEX 68 : 41F09375	41D69168	419B6C8B	
DEC 68 : 30.072001	26.820999	19.427999	
HEX 69 : 41C2E560	41F5F7CF	41BB1687	
DEC 69 : 24.362000	30.746000	23.386000	
HEX 70 : 41C0ED91	41EAAC08	41BED2F2	
DEC 70 : 24.115999	29.334000	23.853001	
HEX 71 : 41C69BA6	420F51EC	41873F7D	
DEC 71 : 24.826000	35.830002	16.906000	
HEX 72 : 41CBC28F	420FA3D7	41815C29	
DEC 72 : 25.469999	35.910000	16.170000	
HEX 73 : 41C1C6A8	420CA8F6	41840C4A	
DEC 73 : 24.222000	35.165001	16.506001	
HEX 74 : 41DA9168	41EE78D5	41BA5604	
DEC 74 : 27.320999	29.809000	23.292000	
HEX 75 : 41D5CAC1	41F4B852	41BB4189	
DEC 75 : 26.724001	30.590000	23.407000	
HEX 76 : 41E1851F	41F228F6	41B9EB85	
DEC 76 : 28.190001	30.270000	23.240000	
HEX 77 : 41D3A5E3	420E8419	416A6666	
DEC 77 : 26.455999	35.629002	14.650000	
HEX 78 : 41D08937	420CF7CF	415D70A4	
DEC 78 : 26.066999	35.242001	13.840000	
HEX 79 : 420F8F5C	42000312	41634396	
DEC 79 : 35.889999	32.002998	14.204000	
HEX 80 : 41D78D50	42061062	4182D0E5	
DEC 80 : 26.944000	33.515999	16.351999	
HEX 81 : 41D23333	42036979	4180C083	
DEC 81 : 26.275000	32.853001	16.094000	
HEX 82 : 41D5F1AA	4208F5C3	417B8106	
DEC 82 : 26.743000	34.240002	15.719000	
HEX 83 : 42044DD3	41F6DB23	41A2EF9E	
DEC 83 : 33.076000	30.857000	20.367001	
HEX 84 : 42053852	41FDE560	41A00E56	
DEC 84 : 33.305000	31.737000	20.007000	
HEX 85 : 42025810	41F3FDF4	419CC49C	
DEC 85 : 32.585999	30.499001	19.596001	
HEX 86 : 41EE3D71	41F7C28F	41B95604	
DEC 86 : 29.780001	30.969999	23.167000	
HEX 87 : 41F11687	41FEF3B6	41B80625	
DEC 87 : 30.136000	31.868999	23.003000	
HEX 88 : 41F353F8	41F34DD3	41B545A2	
DEC 88 : 30.416000	30.413000	22.659000	
HEX 89 : 41D4978D	41CC978D	41A93F7D	
DEC 89 : 26.573999	25.573999	21.156000	
HEX 90 : 41D53333	41D4624E	41AA1687	
DEC 90 : 26.650000	26.548000	21.261000	
HEX 91 : 41CD53F8	41CC3F7D	41A651EC	
DEC 91 : 25.666000	25.531000	20.790001	
HEX 92 : 420E6873	420D851F	418A851F	
DEC 92 : 35.602001	35.380001	17.315001	
HEX 93 : 41F99BA6	420226E9	418ED4FE	
DEC 93 : 31.201000	32.537998	17.854000	
HEX 94 : 42003D71	42036F9E	41917EFA	
DEC 94 : 32.060001	32.859001	18.187000	
HEX 95 : 41FB3127	41FCA5E3	418E1EB8	
DEC 95 : 31.399000	31.580999	17.764999	
HEX 96 : 41ECA9FC	42093439	4180147B	
DEC 96 : 29.583000	34.300999	16.010000	
HEX 97 : 41F11062	4206E24E	41848B44	
DEC 97 : 30.132999	33.721001	16.568001	
HEX 98 : 41E58B44	4207B74C	41816666	
DEC 98 : 28.693001	33.929001	16.174999	
HEX 99 : 41DB7CEE	41E0E76D	41BF1062	
DEC 99 : 27.436001	28.113001	23.882999	
HEX 100 : 41E23333	41D73127	41BCD917	
DEC 100 : 28.275000	26.899000	23.606001	
HEX 101 : 4200E666	41C5C28F	41B60000	
DEC 101 : 32.224998	24.719999	22.750000	
HEX 102 : 4201820C	41CC5604	418FA1CB	
DEC 102 : 32.376999	25.542000	17.954000	
HEX 103 : 42013333	41C870A4	4188E354	
DEC 103 : 32.299999	25.055000	17.111000	
HEX 104 : 42021EB8	41C63B64	41947AE1	
DEC 104 : 32.529999	24.778999	18.559999	
HEX 105 : 42070A3D	41DF72B0	418D3F7D	
DEC 105 : 33.759998	27.931000	17.656000	
HEX 106 : 42093958	41DED70A	4186D70A	
DEC 106 : 34.306000	27.855000	16.855000	
HEX 107 : 4205624E	41D84DD3	418D851F	
DEC 107 : 33.346001	27.038000	17.690001	
HEX 108 : 41EF28F6	41D647AE	41B6C49C	
DEC 108 : 29.895000	26.785000	22.846001	
HEX 109 : 41ECDF3B	41D48106	41AF7CEE	
DEC 109 : 29.608999	26.563000	21.936001	
HEX 110 : 41F6D0E5	41D49BA6	41B61062	
DEC 110 : 30.851999	26.576000	22.757999	
HEX 111 : 41C81AA0	41DF0C4A	4171A9FC	
DEC 111 : 25.013000	27.881001	15.104000	
HEX 112 : 41C58312	41E2ED91	417E0C4A	
DEC 112 : 24.688999	28.365999	15.878000	
HEX 113 : 41CD0E56	41D9EB85	41783958	
DEC 113 : 25.632000	27.240000	15.514000	
HEX 114 : 41D90C4A	42026F9E	4142624E	
DEC 114 : 27.131001	32.609001	12.149000	
HEX 115 : 41D2FDF4	42049BA6	41476042	
DEC 115 : 26.374001	33.152000	12.461000	
HEX 116 : 41C1FDF4	41C59FBE	41715810	
DEC 116 : 24.249001	24.702999	15.084000	
HEX 117 : 41C87AE1	41C9E354	41733F7D	
DEC 117 : 25.059999	25.236000	15.203000	
HEX 118 : 41D047AE	41EBA3D7	41407AE1	
DEC 118 : 26.035000	29.455000	12.030000	
HEX 119 : 41E5DB23	41D75604	415D126F	
DEC 119 : 28.732000	26.917000	13.817000	
HEX 120 : 41EA8312	41DABC6A	4152872B	
DEC 120 : 29.313999	27.341999	13.158000	
HEX 121 : 41E9EB85	41D0B22D	415F2F1B	
DEC 121 : 29.240000	26.087000	13.949000	
HEX 122 : 41D69FBE	41CEC49C	4178978D	
DEC 122 : 26.827999	25.846001	15.537000	
HEX 123 : 41D9F1AA	41C7C8B4	417ACCCD	
DEC 123 : 27.243000	24.973000	15.675000	
HEX 124 : 41DC5C29	41D2872B	4170E560	
DEC 124 : 27.545000	26.316000	15.056000	
HEX 125 : 41E38D50	41F6624E	415F3F7D	
DEC 125 : 28.444000	30.798000	13.953000	
HEX 126 : 41E351EC	41F1645A	41533B64	
DEC 126 : 28.415001	30.174000	13.202000	
HEX 127 : 41E03127	41FC9375	415872B0	
DEC 127 : 28.024000	31.572001	13.528000	
HEX 128 : 41F770A4	41F8A5E3	4148978D	
DEC 128 : 30.930000	31.080999	12.537000	
HEX 129 : 41F28106	41F3624E	41426666	
DEC 129 : 30.313000	30.423000	12.150000	
HEX 130 : 41F36A7F	41FA45A2	41559168	
DEC 130 : 30.427000	31.284000	13.348000	
HEX 131 : 4201E666	41C2E148	417645A2	
DEC 131 : 32.474998	24.360001	15.392000	
HEX 132 : 42050E56	41C79FBE	4176147B	
DEC 132 : 33.264000	24.952999	15.380000	
HEX 133 : 41F05E35	41C476C9	4162E148	
DEC 133 : 30.046000	24.558001	14.180000	
HEX 134 : 41F70A3D	41C4851F	416B3333	
DEC 134 : 30.879999	24.565001	14.700000	
HEX 135 : 41F31CAC	41C1E76D	41550625	
DEC 135 : 30.389000	24.238001	13.314000	
HEX 136 : 41FB9FBE	41DB9BA6	414B53F8	
DEC 136 : 31.452999	27.451000	12.708000	
HEX 137 : 41D37EFA	41DF6873	414C49BA	
DEC 137 : 26.437000	27.926001	12.768000	
HEX 138 : 41DA0625	41DD0419	4153A5E3	
DEC 138 : 27.253000	27.627001	13.228000	
HEX 139 : 41CE6C8B	41DF624E	41585604	
DEC 139 : 25.802999	27.923000	13.521000	
HEX 140 : 41C6F7CF	42077BE7	4150978D	
DEC 140 : 24.871000	33.870998	13.037000	
HEX 141 : 41C374BC	420748B4	415E9BA6	
DEC 141 : 24.431999	33.820999	13.913000	
HEX 142 : 41C0E979	4206C28F	41474396	
DEC 142 : 24.114000	33.689999	12.454000	
HEX 143 : 420E9687	41DDA3D7	41527EFA	
DEC 143 : 35.646999	27.705000	13.156000	
HEX 144 : 420C978D	41E24FDF	415C49BA	
DEC 144 : 35.147999	28.289000	13.768000	
HEX 145 : 420E3D71	41E1BE77	41451687	
DEC 145 : 35.560001	28.218000	12.318000	
HEX 146 : 420A6A7F	41D05604	4172C49C	
DEC 146 : 34.604000	26.042000	15.173000	
HEX 147 : 420C4189	41D33958	41663958	
DEC 147 : 35.063999	26.403000	14.389000	
HEX 148 : 420DA3D7	41CF1EB8	417B9DB2	
DEC 148 : 35.410000	25.889999	15.726000	
HEX 149 : 420254FE	41DD5A1D	415FA5E3	
DEC 149 : 32.583000	27.669001	13.978000	
HEX 150 : 4204199A	41E36C8B	4166872B	
DEC 150 : 33.025002	28.427999	14.408000	
HEX 151 : 4204353F	41D78B44	4166C49C	
DEC 151 : 33.051998	26.943001	14.423000	
HEX 152 : 420CDE35	41D27CEE	41406A7F	
DEC 152 : 35.216999	26.311001	12.026000	
HEX 153 : 4207AE14	41FCEF9E	414774BC	
DEC 153 : 33.919998	31.617001	12.466000	
HEX 154 : 42028C4A	41F7E560	414049BA	
DEC 154 : 32.637001	30.987000	12.018000	
155 : 0.000000	0.000000	0.000000	
156 : 0.000000	0.000000	0.000000	
157 : 0.000000	0.000000	0.000000	
158 : 0.000000	0.000000	0.000000	
159 : 0.000000	0.000000	0.000000	
160 : 0.000000	0.000000	0.000000	
161 : 0.000000	0.000000	0.000000	
162 : 0.000000	0.000000	0.000000	
163 : 0.000000	0.000000	0.000000	
164 : 0.000000	0.000000	0.000000	
165 : 0.000000	0.000000	0.000000	
166 : 0.000000	0.000000	0.000000	
167 : 0.000000	0.000000	0.000000	
168 : 0.000000	0.000000	0.000000	
169 : 0.000000	0.000000	0.000000	
170 : 0.000000	0.000000	0.000000	
171 : 0.000000	0.000000	0.000000	
172 : 0.000000	0.000000	0.000000	
173 : 0.000000	0.000000	0.000000	
174 : 0.000000	0.000000	0.000000	
175 : 0.000000	0.000000	0.000000	
176 : 0.000000	0.000000	0.000000	
177 : 0.000000	0.000000	0.000000	
178 : 0.000000	0.000000	0.000000	
179 : 0.000000	0.000000	0.000000	
180 : 0.000000	0.000000	0.000000	
181 : 0.000000	0.000000	0.000000	
182 : 0.000000	0.000000	0.000000	
183 : 0.000000	0.000000	0.000000	
184 : 0.000000	0.000000	0.000000	
185 : 0.000000	0.000000	0.000000	
186 : 0.000000	0.000000	0.000000	
187 : 0.000000	0.000000	0.000000	
188 : 0.000000	0.000000	0.000000	
189 : 0.000000	0.000000	0.000000	
190 : 0.000000	0.000000	0.000000	
191 : 0.000000	0.000000	0.000000	
192 : 0.000000	0.000000	0.000000	
193 : 0.000000	0.000000	0.000000	
194 : 0.000000	0.000000	0.000000	
195 : 0.000000	0.000000	0.000000	
196 : 0.000000	0.000000	0.000000	
197 : 0.000000	0.000000	0.000000	
198 : 0.000000	0.000000	0.000000	
199 : 0.000000	0.000000	0.000000	
200 : 0.000000	0.000000	0.000000	
201 : 0.000000	0.000000	0.000000	
202 : 0.000000	0.000000	0.000000	
203 : 0.000000	0.000000	0.000000	
204 : 0.000000	0.000000	0.000000	
205 : 0.000000	0.000000	0.000000	
206 : 0.000000	0.000000	0.000000	
207 : 0.000000	0.000000	0.000000	
208 : 0.000000	0.000000	0.000000	
209 : 0.000000	0.000000	0.000000	
210 : 0.000000	0.000000	0.000000	
211 : 0.000000	0.000000	0.000000	
212 : 0.000000	0.000000	0.000000	
213 : 0.000000	0.000000	0.000000	
214 : 0.000000	0.000000	0.000000	
215 : 0.000000	0.000000	0.000000	
216 : 0.000000	0.000000	0.000000	
217 : 0.000000	0.000000	0.000000	
218 : 0.000000	0.000000	0.000000	
219 : 0.000000	0.000000	0.000000	
220 : 0.000000	0.000000	0.000000	
221 : 0.000000	0.000000	0.000000	
222 : 0.000000	0.000000	0.000000	
223 : 0.000000	0.000000	0.000000	
224 : 0.000000	0.000000	0.000000	
225 : 0.000000	0.000000	0.000000	
226 : 0.000000	0.000000	0.000000	
227 : 0.000000	0.000000	0.000000	
228 : 0.000000	0.000000	0.000000	
229 : 0.000000	0.000000	0.000000	
230 : 0.000000	0.000000	0.000000	
231 : 0.000000	0.000000	0.000000	
232 : 0.000000	0.000000	0.000000	
233 : 0.000000	0.000000	0.000000	
234 : 0.000000	0.000000	0.000000	
235 : 0.000000	0.000000	0.000000	
236 : 0.000000	0.000000	0.000000	
237 : 0.000000	0.000000	0.000000	
238 : 0.000000	0.000000	0.000000	
239 : 0.000000	0.000000	0.000000	
240 : 0.000000	0.000000	0.000000	
241 : 0.000000	0.000000	0.000000	
242 : 0.000000	0.000000	0.000000	
243 : 0.000000	0.000000	0.000000	
244 : 0.000000	0.000000	0.000000	
245 : 0.000000	0.000000	0.000000	
246 : 0.000000	0.000000	0.000000	
247 : 0.000000	0.000000	0.000000	
248 : 0.000000	0.000000	0.000000	
249 : 0.000000	0.000000	0.000000	
250 : 0.000000	0.000000	0.000000	
251 : 0.000000	0.000000	0.000000	
252 : 0.000000	0.000000	0.000000	
253 : 0.000000	0.000000	0.000000	
254 : 0.000000	0.000000	0.000000	
255 : 0.000000	0.000000	0.000000	
256 : 0.000000	0.000000	0.000000	
257 : 0.000000	0.000000	0.000000	
258 : 0.000000	0.000000	0.000000	
259 : 0.000000	0.000000	0.000000	
260 : 0.000000	0.000000	0.000000	
261 : 0.000000	0.000000	0.000000	
262 : 0.000000	0.000000	0.000000	
263 : 0.000000	0.000000	0.000000	
264 : 0.000000	0.000000	0.000000	
265 : 0.000000	0.000000	0.000000	
266 : 0.000000	0.000000	0.000000	
267 : 0.000000	0.000000	0.000000	
268 : 0.000000	0.000000	0.000000	
269 : 0.000000	0.000000	0.000000	
270 : 0.000000	0.000000	0.000000	
271 : 0.000000	0.000000	0.000000	
272 : 0.000000	0.000000	0.000000	
273 : 0.000000	0.000000	0.000000	
274 : 0.000000	0.000000	0.000000	
275 : 0.000000	0.000000	0.000000	
276 : 0.000000	0.000000	0.000000	
277 : 0.000000	0.000000	0.000000	
278 : 0.000000	0.000000	0.000000	
279 : 0.000000	0.000000	0.000000	
280 : 0.000000	0.000000	0.000000	
281 : 0.000000	0.000000	0.000000	
282 : 0.000000	0.000000	0.000000	
283 : 0.000000	0.000000	0.000000	
284 : 0.000000	0.000000	0.000000	
285 : 0.000000	0.000000	0.000000	
286 : 0.000000	0.000000	0.000000	
287 : 0.000000	0.000000	0.000000	
288 : 0.000000	0.000000	0.000000	
289 : 0.000000	0.000000	0.000000	
